test.id,http.path,test.level,test.objective,test.bankCif_csv,test.bankCode_csv,test.accountNo_csv,test.isAccount_csv,response.code_csv,response.message_csv,response.http_code_csv,active_or_not,groupcase
19,getBeneficiary,integration,Lấy thông tin tài khoản - Napas - Sai -  isAccount,getapi,970406,0129837294,45646463,4005192,Người thụ hưởng không tồn tại. Vui lòng kiểm tra lại,200,active,validate_getBeneficiary
20,getBeneficiary,integration,Lấy thông tin tài khoản - Napas - Sai -  all field,56757,56757,56757,6575,4030000,Bạn không có quyền thao tác trên tài khoản của người khác,200,active,validate_getBeneficiary
21,getBeneficiary,integration,Lấy thông tin Thẻ - Nội Bộ KLB - Sai -  bankCif,123454AC,970452,9704529304109521,0,4030000,Bạn không có quyền thao tác trên tài khoản của người khác,200,active,validate_getBeneficiary
22,getBeneficiary,integration,Lấy thông tin Thẻ - Nội Bộ KLB - Sai -  bankCode,getapi,123456,9704529304109521,0,4005091,Không thể kết nối với ngân hàng phát hành, đề nghị thử lại sau,200,active,validate_getBeneficiary
23,getBeneficiary,integration,Lấy thông tin Thẻ - Nội Bộ KLB - Sai -  accountNo,getapi,970452,9704520000000000,0,4005192,Người thụ hưởng không tồn tại. Vui lòng kiểm tra lại,200,active,validate_getBeneficiary
24,getBeneficiary,integration,Lấy thông tin Thẻ - Nội Bộ KLB - Sai -  isAccount,getapi,970452,9704529304109521,45646463,4005192,Người thụ hưởng không tồn tại. Vui lòng kiểm tra lại,200,active,validate_getBeneficiary
25,getBeneficiary,integration,Lấy thông tin Thẻ - Nội Bộ KLB - Sai -  all field,56757,56757,56757,6575,4030000,Bạn không có quyền thao tác trên tài khoản của người khác,200,active,validate_getBeneficiary
26,getBeneficiary,integration,Lấy thông tin Thẻ - Napas - Sai -  bankCif,123454AC,970406,9704060129837294,0,4030000,Bạn không có quyền thao tác trên tài khoản của người khác,200,active,validate_getBeneficiary
27,getBeneficiary,integration,Lấy thông tin Thẻ - Napas - Sai -  bankCode,getapi,123456,9704060129837294,0,4005091,Không thể kết nối với ngân hàng phát hành, đề nghị thử lại sau,200,active,validate_getBeneficiary
28,getBeneficiary,integration,Lấy thông tin Thẻ - Napas - Sai -  accountNo,getapi,970406,9704060000000000,0,4005192,Người thụ hưởng không tồn tại. Vui lòng kiểm tra lại,200,active,validate_getBeneficiary
29,getBeneficiary,integration,Lấy thông tin Thẻ - Napas - Sai -  isAccount,getapi,970406,9704060129837294,45646463,4005192,Người thụ hưởng không tồn tại. Vui lòng kiểm tra lại,200,active,validate_getBeneficiary
30,getBeneficiary,integration,Lấy thông tin Thẻ - Napas - Sai -  all field,56757,56757,56757,6575,4030000,Bạn không có quyền thao tác trên tài khoản của người khác,200,active,validate_getBeneficiary
